id,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,A_Seqv,B_Seqv,C_Seqv,D_Seqv
时间/s,主蒸汽温度,主蒸汽压力,主蒸汽流量,汽机功率,转速信号,高压缸排气温度,高压缸排气压力,高压缸内缸温度测点,中压缸排气温度,中压缸排气压力,#1级抽气温度,#1级抽气压力,#3级抽气温度,#3级抽气压力,#4级抽气温度,#4级抽气压力,#5级抽气温度,#5级抽气压力,#6级抽气温度1,#6级抽气压力1,#6级抽气温度2,#6级抽气压力2,A_Seqv,B_Seqv,A_S1,B_S1
14029,586.40002,187.10649,1861.889,660.46802,2998.9041,348.90002,38.088829,576.60004,261,3.3438218,386.19998,5.0763159,420.70001,1.513889,329.30002,0.76551646,250.90001,0.39195597,154.70001,0.082673252,122.2,0.089165583,12.037,21.641,14.042,24.288
14030,586.40002,187.10649,1861.889,660.46802,2998.9041,348.90002,38.088829,576.60004,261,3.3438218,386.19998,5.0763159,420.70001,1.513889,329.30002,0.76551646,250.90001,0.39195597,154.70001,0.082673252,122.2,0.089165583,12.035,21.636,14.039,24.284
14031,586.40002,187.1745,1862.5519,660.46802,2998.9041,348.90002,38.088829,576.60004,261,3.3438218,386.19998,5.0763159,420.70001,1.513889,329.30002,0.76551646,250.90001,0.39195597,154.70001,0.082673252,122.2,0.089165583,12.033,21.631,14.037,24.28
14032,586.40002,187.1745,1862.5519,660.08966,2998.9041,348.90002,38.088829,576.69995,261,3.3438218,386.19998,5.0763159,420.70001,1.513889,329.30002,0.76551646,250.90001,0.39195597,154.70001,0.082673252,122.2,0.089165583,12.031,21.627,14.035,24.275
14033,586.40002,187.1745,1862.9109,660.08966,2998.9041,348.90002,38.088829,576.69995,261,3.3438218,386.19998,5.0763159,420.70001,1.513889,329.30002,0.76551646,250.90001,0.39195597,154.70001,0.082673252,122.2,0.089165583,12.029,21.622,14.033,24.271
14034,586.40002,187.09521,1862.9109,660.08966,2998.3052,348.90002,38.088829,576.60004,261,3.3438218,386.19998,5.0763159,420.70001,1.513889,329.30002,0.76551646,250.90001,0.39195597,154.70001,0.082673252,122.2,0.089165583,12.027,21.618,14.031,24.267
14035,586.40002,187.09521,1861.384,659.99506,2998.3052,348.90002,38.088829,576.60004,261,3.3438218,386.19998,5.0763159,420.70001,1.513889,329.30002,0.76551646,250.90001,0.39195597,154.70001,0.082673252,122.2,0.089165583,12.025,21.613,14.029,24.263
14036,586.40002,187.08681,1861.384,658.76514,2998.3052,348.90002,38.088829,576.69995,261,3.3438218,386.19998,5.0763159,420.70001,1.513889,329.30002,0.76551646,250.90001,0.39195597,154.70001,0.082673252,122.2,0.089165583,12.024,21.608,14.027,24.259
14037,586.40002,187.08681,1862.387,658.76514,2998.3052,348.90002,38.088829,576.69995,261,3.3438218,386.19998,5.0763159,420.70001,1.513889,329.30002,0.76551646,250.90001,0.39195597,154.70001,0.082673252,122.2,0.089165583,12.022,21.604,14.025,24.255
14038,586.40002,187.1635,1862.387,658.76514,2998.3052,348.90002,38.088829,576.69995,261,3.3438218,386.19998,5.0763159,420.70001,1.513889,329.30002,0.76551646,250.90001,0.39195597,154.70001,0.082673252,122.2,0.089165583,12.02,21.599,14.023,24.251
14039,586.40002,187.1635,1862.1171,658.76514,2998.3052,348.90002,38.088829,576.69995,261,3.3438218,386.19998,5.0763159,420.70001,1.513889,329.30002,0.76551646,250.90001,0.39195597,154.70001,0.082673252,122.2,0.089165583,12.018,21.595,14.02,24.247
14040,586.40002,187.25349,1862.1171,658.76514,2998.3052,348.90002,38.088829,576.69995,261,3.3438218,386.19998,5.0763159,420.70001,1.513889,329.30002,0.76551646,250.90001,0.39195597,154.70001,0.082673252,122.2,0.089165583,12.016,21.59,14.018,24.243
14041,586.40002,187.19,1863.407,658.76514,2998.3052,348.90002,38.088829,576.69995,261,3.3438218,386.19998,5.0763159,420.70001,1.513889,329.30002,0.76551646,250.90001,0.39195597,154.70001,0.082673252,122.2,0.089165583,12.014,21.585,14.016,24.239
14042,586.40002,187.19,1863.407,658.76514,2998.3052,348.90002,38.088829,576.69995,261,3.3438218,386.19998,5.0763159,420.70001,1.513889,329.30002,0.76551646,250.90001,0.39195597,154.70001,0.082673252,122.2,0.089165583,12.012,21.581,14.014,24.234
14043,586.40002,187.19,1862.9861,658.76514,2998.3052,348.90002,38.088829,576.69995,261,3.3438218,386.19998,5.0763159,420.70001,1.513889,329.30002,0.76551646,250.90001,0.39195597,154.70001,0.082673252,122.2,0.089165583,12.01,21.576,14.012,24.23
14044,586.40002,187.19,1862.9861,660.94104,2998.3052,348.90002,38.088829,576.69995,261,3.3438218,386.19998,5.0763159,420.70001,1.513889,329.30002,0.76551646,250.90001,0.39195597,154.70001,0.082673252,122.2,0.089165583,12.008,21.572,14.01,24.226
